"cidade","Vizinho1","Vizinho2","Vizinho3","Vizinho4","Vizinho5","Vizinho6","Vizinho7","Vizinho8","Vizinho9","Vizinho10","V12"
"Bayeux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"Campina Grande",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"João Pessoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"Manaíra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"Paulista",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"Seridó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"Emas",0.0192,0.0452,0.0586,0.0603,0.0927,0.096,0.1158,0.1252,0.1308,0.1536,0.0897
"Curral Velho",0.0192,0.052,0.0659,0.0693,0.0908,0.1062,0.1117,0.1119,0.1453,0.156,0.0928
"São Domingos",0.0143,0.0539,0.0561,0.0784,0.0794,0.097,0.1302,0.1309,0.1351,0.1556,0.0931
"Caraúbas",0.0452,0.052,0.0622,0.0782,0.0955,0.0983,0.1015,0.1019,0.1455,0.1526,0.0933
"Santa Inês",0.0143,0.0569,0.0651,0.083,0.0839,0.0913,0.1295,0.1315,0.1465,0.1676,0.0969
"Assunção",0.0457,0.0539,0.0651,0.0785,0.1024,0.1026,0.1068,0.134,0.1381,0.145,0.0972
"Cacimba de Areia",0.0609,0.0892,0.0918,0.0927,0.0955,0.0975,0.1119,0.1138,0.1217,0.1254,0.1
"São Francisco",0.002,0.0213,0.0612,0.0772,0.1286,0.1428,0.1464,0.1522,0.1579,0.1633,0.1053
"Tenório",0.002,0.0226,0.062,0.0753,0.1304,0.1415,0.1483,0.1512,0.156,0.165,0.1054
"Algodão de Jandaíra",0.0213,0.0226,0.0408,0.0956,0.1275,0.1389,0.1421,0.1455,0.1627,0.1664,0.1063
"Cabaceiras",0.0457,0.0571,0.0611,0.0794,0.0839,0.1241,0.1351,0.145,0.1473,0.1838,0.1063
"São José do Sabugi",0.0605,0.0765,0.0784,0.0785,0.0785,0.0913,0.1241,0.1555,0.1666,0.1713,0.1081
"Brejo dos Santos",0.0592,0.064,0.0779,0.0874,0.0928,0.0943,0.1158,0.1333,0.1734,0.1882,0.1086
"Camalaú",0.0214,0.0622,0.0908,0.096,0.1258,0.1302,0.1386,0.1389,0.1415,0.1428,0.1088
"São Bentinho",0.0609,0.0633,0.0724,0.1018,0.1081,0.1162,0.1189,0.1439,0.1503,0.1526,0.1088
"Zabelê",0.0068,0.0603,0.0693,0.0918,0.1019,0.1437,0.1439,0.1503,0.1563,0.1641,0.1088
"Ouro Velho",0.0068,0.0586,0.0659,0.0975,0.1015,0.1438,0.15,0.1503,0.1543,0.1676,0.1096
"Serra Grande",0.0202,0.0417,0.0499,0.0592,0.1224,0.1379,0.148,0.1669,0.1922,0.197,0.1135
"Areia de Baraúnas",0.0561,0.0569,0.0765,0.1,0.1024,0.113,0.1351,0.1363,0.1857,0.1868,0.1149
"São João do Tigre",0.0408,0.0612,0.062,0.1258,0.1265,0.1269,0.147,0.148,0.1564,0.1658,0.116
"Sertãozinho",0.029,0.0719,0.0874,0.0979,0.1015,0.1379,0.1481,0.1581,0.159,0.1856,0.1176
"Frei Martinho",0.0753,0.0772,0.0956,0.1062,0.1252,0.1269,0.1386,0.1438,0.1455,0.1503,0.1184
"Igaracy",0.0214,0.0782,0.1117,0.1158,0.1265,0.1303,0.1455,0.1512,0.1522,0.1564,0.1189
"Nova Olinda",0.0431,0.0458,0.1019,0.1117,0.1162,0.1291,0.1412,0.1428,0.1597,0.1978,0.1189
"Santana dos Garrotes",0.0256,0.0951,0.117,0.117,0.1336,0.1349,0.1369,0.142,0.1464,0.1495,0.1198
"Cuitegi",0.0892,0.0948,0.0983,0.1081,0.1291,0.1302,0.1303,0.1308,0.1453,0.1556,0.1212
"São José do Bonfim",0.0202,0.0391,0.0537,0.0779,0.1397,0.1531,0.1581,0.1785,0.1871,0.2099,0.1217
"Borborema",0.0256,0.0919,0.1167,0.1277,0.1353,0.1405,0.1412,0.144,0.1487,0.1507,0.1222
"Carrapateira",0.0187,0.0499,0.0537,0.0928,0.0995,0.1481,0.1554,0.1753,0.221,0.222,0.1236
"Riacho de Santo Antônio",0.0187,0.0391,0.0417,0.0943,0.1149,0.1582,0.159,0.1869,0.2023,0.2266,0.1242
"São José dos Ramos",0.064,0.0701,0.0719,0.0902,0.1224,0.1397,0.1554,0.1582,0.165,0.2096,0.1246
"Vista Serrana",0.0126,0.0633,0.0664,0.1138,0.1428,0.1618,0.1709,0.1747,0.1781,0.1815,0.1266
"Bernardino Batista",0.0431,0.0608,0.0948,0.1189,0.143,0.1438,0.1467,0.1618,0.1633,0.1918,0.1268
"Riachão do Poço",0.029,0.0756,0.0902,0.0947,0.1158,0.1589,0.1669,0.1753,0.1869,0.1871,0.1281
"Catingueira",0.0263,0.0351,0.1152,0.1275,0.1286,0.1304,0.148,0.1678,0.1888,0.2154,0.1283
"Bom Jesus",0.0401,0.0702,0.075,0.1249,0.1283,0.1369,0.144,0.169,0.2022,0.212,0.1303
"Caldas Brandão",0.0401,0.0432,0.0906,0.113,0.1349,0.1487,0.1608,0.176,0.1955,0.1999,0.1303
"Pirpirituba",0.0458,0.0608,0.0856,0.0988,0.1556,0.1583,0.1614,0.1737,0.1789,0.1848,0.1304
"Riacho dos Cavalos",0.0121,0.0611,0.1068,0.1295,0.1302,0.1581,0.167,0.1769,0.181,0.1824,0.1305
"Boa Vista",0.0121,0.0571,0.1026,0.1309,0.1315,0.1601,0.1696,0.1745,0.1811,0.1868,0.1306
"Gurjão",0.0126,0.0724,0.0741,0.1254,0.1412,0.1633,0.1694,0.1788,0.1848,0.1872,0.1309
"Serra da Raiz",0.0234,0.0605,0.113,0.1351,0.1381,0.1465,0.1521,0.1766,0.1819,0.1828,0.131
"Malta",0.0263,0.0325,0.0943,0.1421,0.1464,0.1483,0.1519,0.1564,0.2038,0.2111,0.1313
"São José de Caiana",0.0528,0.0988,0.1018,0.1019,0.1315,0.143,0.1612,0.1694,0.1771,0.1781,0.1316
"Damião",0.0528,0.0856,0.0938,0.0948,0.1117,0.1438,0.1749,0.1763,0.1858,0.2138,0.1333
"Santo André",0.0234,0.0785,0.1337,0.1363,0.1531,0.1541,0.1556,0.1591,0.1676,0.18,0.1341
"Aparecida",0.0655,0.0919,0.0938,0.0951,0.1018,0.1357,0.1789,0.189,0.1954,0.1978,0.1345
"Sossêgo",0.0325,0.0351,0.0861,0.1627,0.1633,0.165,0.1803,0.1823,0.1834,0.2056,0.1396
"São Domingos do Cariri",0.083,0.097,0.1,0.1288,0.145,0.1473,0.1666,0.167,0.1745,0.2047,0.1414
"Barra de São Miguel",0.0906,0.0932,0.1084,0.117,0.1249,0.1412,0.1821,0.1831,0.189,0.1902,0.1419
"Bom Sucesso",0.0614,0.075,0.1024,0.113,0.1353,0.142,0.1446,0.1831,0.2264,0.2407,0.1424
"Pilõezinhos",0.0432,0.0702,0.1084,0.1446,0.1525,0.1685,0.1764,0.1913,0.1983,0.2007,0.1454
"Parari",0.0664,0.0741,0.1018,0.1217,0.1437,0.15,0.1875,0.2022,0.2039,0.2053,0.1457
"Amparo",0.0414,0.0614,0.1167,0.1283,0.1336,0.1608,0.1983,0.1983,0.2114,0.2264,0.1477
"Maturéia",0.0655,0.0948,0.1315,0.1319,0.1464,0.1507,0.1737,0.1902,0.2058,0.2108,0.1501
"Livramento",0.0701,0.0947,0.0979,0.1333,0.15,0.1506,0.1922,0.2099,0.2178,0.222,0.1538
"São José de Princesa",0.0116,0.0275,0.1364,0.1441,0.1591,0.1819,0.2056,0.2277,0.2342,0.2406,0.1569
"Cubati",0.0932,0.117,0.1319,0.1357,0.1405,0.1632,0.176,0.2007,0.2022,0.2181,0.1578
"Vieirópolis",0.0861,0.0943,0.1152,0.1249,0.1441,0.1539,0.1903,0.2129,0.2235,0.2356,0.1581
"Passagem",0.0116,0.0323,0.1419,0.1539,0.1541,0.1766,0.2125,0.2304,0.2356,0.2476,0.1597
"São José do Brejo do Cruz",0.0275,0.0323,0.1249,0.1585,0.1803,0.1859,0.2038,0.2086,0.2154,0.2615,0.1599
"Riachão do Bacamarte",0.0756,0.1015,0.1337,0.1506,0.1525,0.165,0.1882,0.1955,0.212,0.2295,0.1604
"Diamante",0.128,0.134,0.145,0.1555,0.1696,0.18,0.181,0.1828,0.1856,0.1982,0.166
"Monte Horebe",0.0862,0.0862,0.1288,0.1769,0.1862,0.1865,0.1889,0.1992,0.2013,0.224,0.1664
"Mato Grosso",0.0414,0.1024,0.1277,0.1495,0.169,0.1954,0.1999,0.2043,0.2385,0.2424,0.167
"Alcantil",0.128,0.1337,0.1364,0.1419,0.1521,0.1585,0.1713,0.2065,0.2129,0.2393,0.1681
"Curral de Cima",0.1307,0.147,0.1519,0.1603,0.1678,0.1723,0.1834,0.1903,0.1917,0.1934,0.1689
"Baraúna",0.0775,0.0862,0.157,0.1824,0.1842,0.187,0.1941,0.2047,0.2282,0.2372,0.1739
"Capim",0.0876,0.0913,0.1307,0.1658,0.1885,0.206,0.2062,0.227,0.2278,0.2471,0.1778
"Poço de José de Moura",0.1337,0.15,0.1589,0.1685,0.1856,0.1902,0.201,0.2029,0.2049,0.2096,0.1805
"Coxixola",0.0995,0.1149,0.148,0.1531,0.1734,0.1858,0.2039,0.2251,0.2295,0.2798,0.1813
"Santa Cruz",0.0775,0.0862,0.1129,0.1851,0.2043,0.2126,0.223,0.2413,0.2441,0.2562,0.1843
"Juripiranga",0.0215,0.0913,0.1718,0.193,0.2108,0.2201,0.2383,0.2436,0.2504,0.2683,0.1909
"Cacimbas",0.0925,0.1115,0.1195,0.1632,0.1821,0.201,0.2417,0.262,0.2644,0.2724,0.191
"Santana de Mangueira",0.065,0.1214,0.1626,0.1641,0.1827,0.1896,0.223,0.2524,0.3075,0.3107,0.1979
"Caturité",0.063,0.065,0.1346,0.2043,0.2043,0.2205,0.2251,0.2523,0.2904,0.323,0.1983
"Lagoa de Dentro",0.0361,0.0695,0.0925,0.1685,0.2132,0.2546,0.2554,0.2625,0.3182,0.3237,0.1994
"Santa Helena",0.0427,0.0578,0.1694,0.1966,0.224,0.2264,0.2418,0.2783,0.2871,0.298,0.2022
"Pedra Lavrada",0.0215,0.0876,0.192,0.2131,0.2183,0.2231,0.2594,0.2632,0.2647,0.2819,0.2025
"Santarém",0.0383,0.0578,0.1292,0.1843,0.2205,0.2532,0.2573,0.2807,0.2808,0.3378,0.204
"Sobrado",0.0803,0.157,0.1641,0.1851,0.2043,0.2077,0.2344,0.2404,0.2669,0.3021,0.2042
"Aguiar",0.0383,0.0427,0.1673,0.2148,0.2239,0.2461,0.2483,0.2623,0.2941,0.3347,0.2073
"Belém do Brejo do Cruz",0.0536,0.1361,0.1557,0.1843,0.2148,0.2211,0.2272,0.2418,0.2604,0.3901,0.2085
"São Sebastião do Umbuzeiro",0.1129,0.1346,0.1465,0.1827,0.1865,0.187,0.2344,0.2887,0.2963,0.356,0.2126
"Salgado de São Félix",0.0361,0.0513,0.1195,0.1754,0.2261,0.2472,0.282,0.2957,0.3446,0.3595,0.2137
"Barra de Santana",0.1581,0.1601,0.1842,0.2077,0.2172,0.2296,0.2429,0.2603,0.2614,0.2625,0.2184
"Juru",0.1292,0.1317,0.1361,0.1673,0.1694,0.1892,0.2558,0.2955,0.3555,0.3575,0.2187
"Lucena",0.0513,0.0695,0.1115,0.1867,0.2267,0.2637,0.278,0.2935,0.3527,0.3701,0.2204
"Logradouro",0.0536,0.143,0.1892,0.2178,0.2205,0.2267,0.2461,0.2706,0.2783,0.3623,0.2208
"Baía da Traição",0.1583,0.1749,0.1902,0.1929,0.2021,0.223,0.2411,0.2624,0.3085,0.3111,0.2265
"Matinhas",0.063,0.1214,0.1465,0.2372,0.2413,0.2669,0.282,0.2998,0.3068,0.3248,0.229
"Princesa Isabel",0.0749,0.1085,0.1514,0.2147,0.2819,0.2825,0.2933,0.3021,0.3065,0.3192,0.2335
"São Miguel de Taipu",0.0803,0.1626,0.2205,0.2372,0.2596,0.2603,0.2636,0.282,0.2887,0.32,0.2375
"Serra Redonda",0.089,0.143,0.1546,0.1557,0.2392,0.2558,0.2674,0.3378,0.37,0.3943,0.2407
"Lagoa",0.0435,0.0997,0.1381,0.1966,0.2239,0.2532,0.3084,0.3575,0.39,0.4251,0.2436
"Massaranduba",0.1685,0.1754,0.2049,0.2178,0.2267,0.2417,0.2823,0.2982,0.3113,0.3169,0.2444
"Itatuba",0.0762,0.0997,0.1356,0.224,0.2623,0.2708,0.2807,0.3555,0.3722,0.3984,0.2475
"Serraria",0.0435,0.1356,0.1562,0.2264,0.2483,0.2808,0.304,0.3646,0.3919,0.4251,0.2576
"Casserengue",0.1603,0.2235,0.2471,0.2483,0.2527,0.2734,0.2776,0.2782,0.3064,0.3147,0.2582
"São Mamede",0.0762,0.1381,0.1562,0.1946,0.298,0.2985,0.3307,0.3347,0.3553,0.4313,0.2614
"Nova Palmeira",0.1785,0.197,0.2023,0.221,0.2402,0.2843,0.3048,0.3275,0.3475,0.356,0.2659
"Cuité de Mamanguape",0.1085,0.123,0.246,0.2473,0.2483,0.2956,0.2977,0.3629,0.369,0.3744,0.2673
"Mogeiro",0.1308,0.1514,0.2149,0.2296,0.246,0.3145,0.3212,0.3249,0.3562,0.3887,0.2678
"Piancó",0.0749,0.123,0.1308,0.2894,0.3199,0.3302,0.3371,0.3478,0.3578,0.3711,0.2682
"Areial",0.1478,0.1896,0.2251,0.2372,0.2636,0.2858,0.2872,0.3141,0.3597,0.4126,0.2723
"Sumé",0.1201,0.1348,0.1799,0.2068,0.2514,0.2606,0.2685,0.4151,0.4581,0.4942,0.2789
"Bonito de Santa Fé",0.089,0.2045,0.2151,0.2267,0.2272,0.2649,0.2955,0.3982,0.4334,0.4519,0.2807
"Água Branca",0.1317,0.2211,0.2573,0.2649,0.2674,0.2706,0.2871,0.2941,0.4204,0.4283,0.2843
"Uiraúna",0.1067,0.1201,0.1974,0.2632,0.2859,0.2938,0.3038,0.4074,0.4393,0.444,0.2862
"Itaporanga",0.1067,0.1348,0.1795,0.2061,0.2544,0.304,0.3327,0.4439,0.5286,0.5491,0.304
"Puxinanã",0.2068,0.215,0.2313,0.2632,0.2885,0.2963,0.3327,0.3787,0.4445,0.4736,0.3131
"Ibiara",0.1546,0.1767,0.2045,0.2178,0.2604,0.3881,0.413,0.4204,0.4384,0.4629,0.3137
"Cuité",0.1974,0.2313,0.2466,0.2606,0.2716,0.304,0.3067,0.4088,0.4325,0.4831,0.3143
"Cachoeira dos Índios",0.1245,0.1898,0.1946,0.2708,0.304,0.3084,0.3748,0.49,0.4936,0.5246,0.3275
"Olho d'Água",0.1416,0.1478,0.3068,0.3107,0.323,0.3515,0.4104,0.4503,0.453,0.4534,0.3349
"São José de Piranhas",0.0796,0.2108,0.2464,0.2739,0.2974,0.3515,0.3927,0.4542,0.4559,0.6882,0.345
"Taperoá",0.0873,0.2108,0.2123,0.2477,0.2706,0.4107,0.4378,0.4667,0.5371,0.6046,0.3486
"Mari",0.1867,0.2261,0.2546,0.2802,0.3855,0.3898,0.4281,0.4419,0.4487,0.4644,0.3506
"Lastro",0.1799,0.1998,0.2544,0.2684,0.2938,0.2963,0.4325,0.5063,0.5832,0.6501,0.3665
"Barra de Santa Rosa",0.0796,0.1988,0.2706,0.3256,0.3405,0.3533,0.4137,0.4759,0.5183,0.6957,0.3672
"Arara",0.1245,0.2506,0.2818,0.2985,0.3722,0.3971,0.4251,0.4251,0.5055,0.596,0.3676
"Coremas",0.0873,0.1692,0.2644,0.2974,0.3533,0.4714,0.4717,0.4766,0.5461,0.59,0.3727
"São José da Lagoa Tapada",0.1767,0.2151,0.2392,0.2733,0.3623,0.3901,0.4798,0.4936,0.5311,0.5743,0.3735
"Remígio",0.2149,0.2969,0.3371,0.3513,0.3662,0.3708,0.4449,0.4464,0.4533,0.4581,0.374
"Cajazeirinhas",0.1416,0.2858,0.336,0.3458,0.3848,0.4191,0.4236,0.4623,0.4748,0.4751,0.3749
"Mataraca",0.1202,0.1531,0.1532,0.3125,0.339,0.3423,0.5674,0.59,0.6023,0.6451,0.3825
"Marizópolis",0.1202,0.2445,0.2604,0.3786,0.4292,0.4302,0.4766,0.4821,0.5287,0.5371,0.3888
"Olivedos",0.1898,0.2506,0.3307,0.354,0.3646,0.39,0.3984,0.4625,0.5614,0.5867,0.3889
"Desterro",0.2084,0.2123,0.2464,0.2644,0.3256,0.3441,0.4456,0.5098,0.6066,0.7405,0.3904
"Salgadinho",0.0846,0.1998,0.2061,0.2514,0.3038,0.4445,0.4947,0.6251,0.659,0.7094,0.3978
"Pedro Régis",0.0846,0.1795,0.2684,0.2685,0.2859,0.4736,0.4831,0.5593,0.6836,0.7193,0.4006
"Tavares",0.1532,0.215,0.2184,0.2445,0.4072,0.4585,0.5111,0.5975,0.6562,0.6951,0.4157
"Juazeirinho",0.2951,0.3132,0.3482,0.3893,0.4101,0.4503,0.4585,0.483,0.5045,0.511,0.4163
"Teixeira",0.1301,0.215,0.2829,0.3067,0.4151,0.4393,0.5063,0.5286,0.659,0.6836,0.4167
"Pombal",0.2977,0.3302,0.3625,0.3781,0.3893,0.4431,0.4845,0.4847,0.5063,0.527,0.4203
"São João do Rio do Peixe",0.1301,0.1588,0.2716,0.2885,0.4476,0.4581,0.5491,0.5832,0.6403,0.7094,0.4237
"Brejo do Cruz",0.1531,0.1981,0.215,0.2422,0.2537,0.2604,0.7044,0.7336,0.737,0.7955,0.4293
"Araruna",0.1588,0.2466,0.2829,0.3787,0.444,0.4942,0.5272,0.5507,0.6501,0.7297,0.4463
"Gado Bravo",0.2872,0.3515,0.3739,0.4219,0.4536,0.4751,0.4793,0.5108,0.5123,0.6042,0.447
"Poço Dantas",0.2084,0.2709,0.3515,0.4107,0.4137,0.4717,0.5442,0.5464,0.5697,0.744,0.4531
"Cacimba de Dentro",0.3405,0.3527,0.3872,0.3927,0.4378,0.4714,0.5111,0.5287,0.5674,0.6066,0.4596
"Natuba",0.1189,0.2818,0.354,0.3748,0.3881,0.5624,0.5682,0.6441,0.6669,0.6697,0.4629
"Congo",0.0464,0.1375,0.144,0.336,0.4534,0.5993,0.688,0.7194,0.755,0.7571,0.4636
"Mãe d'Água",0.2733,0.2859,0.3233,0.3608,0.413,0.4847,0.5113,0.6242,0.6579,0.7398,0.4674
"Duas Estradas",0.0464,0.159,0.159,0.3458,0.453,0.5963,0.6657,0.7305,0.761,0.7629,0.468
"Riachão",0.1692,0.2477,0.3441,0.4559,0.4821,0.5183,0.5442,0.6023,0.623,0.7021,0.4689
"Picuí",0.1988,0.2739,0.3527,0.4667,0.5083,0.5098,0.5461,0.5464,0.6156,0.7136,0.4732
"Alagoinha",0.1461,0.147,0.1844,0.3898,0.4293,0.491,0.6262,0.6386,0.8768,0.9177,0.4847
"Itapororoca",0.1023,0.1461,0.2929,0.4135,0.4902,0.495,0.5982,0.7146,0.7405,1.0038,0.4997
"Araçagi",0.2184,0.2422,0.3125,0.3478,0.4302,0.4761,0.6806,0.6978,0.8728,0.908,0.5186
"Pilões",0.1104,0.1286,0.2759,0.3898,0.4135,0.4265,0.5129,0.8254,1.006,1.1244,0.5213
"Dona Inês",0.1189,0.3323,0.3971,0.4481,0.4625,0.4936,0.6868,0.7315,0.7626,0.788,0.5222
"Caiçara",0.147,0.2929,0.3147,0.4213,0.4265,0.5364,0.582,0.692,0.8409,1.0187,0.5272
"Pitimbu",0.1023,0.1844,0.3147,0.5129,0.5822,0.5969,0.6404,0.6996,0.7797,0.9325,0.5346
"Belém",0.2709,0.3454,0.4456,0.4542,0.4759,0.5083,0.6046,0.6829,0.7891,0.8091,0.5386
"Junco do Seridó",0.1754,0.2537,0.339,0.3786,0.4585,0.4761,0.7452,0.8038,0.879,0.8994,0.5409
"Santa Cecília",0.1104,0.1705,0.1932,0.491,0.495,0.5364,0.5969,0.7927,1.0141,1.0503,0.545
"Alagoa Nova",0.4074,0.4088,0.4439,0.5272,0.5272,0.5593,0.6212,0.6251,0.6403,0.6921,0.5452
"Pocinhos",0.3131,0.3371,0.4825,0.5068,0.5865,0.6124,0.6263,0.6566,0.6876,0.7055,0.5514
"Serra Branca",0.1754,0.1981,0.3423,0.3478,0.4072,0.4292,0.8656,0.8968,0.9023,0.9524,0.5517
"São José dos Cordeiros",0.0232,0.1375,0.159,0.4623,0.5868,0.7338,0.8234,0.84,0.8795,0.8858,0.5531
"Várzea",0.0232,0.144,0.159,0.4748,0.5966,0.743,0.8246,0.8545,0.893,0.8979,0.5611
"Jericó",0.1071,0.205,0.2859,0.5311,0.6906,0.7214,0.7269,0.7317,0.7672,0.8863,0.5653
"Montadas",0.1286,0.1932,0.3597,0.4213,0.4293,0.4902,0.5822,0.9538,1,1.1762,0.5734
"Boqueirão",0.5477,0.6159,NA,NA,NA,NA,NA,NA,NA,NA,0.5818
"Imaculada",0.1705,0.2759,0.3597,0.5982,0.6262,0.692,0.6996,0.7067,0.8545,0.8847,0.5868
"Alagoa Grande",0.5477,0.6392,NA,NA,NA,NA,NA,NA,NA,NA,0.5934
"Pedra Branca",0.0999,0.1071,0.3233,0.5897,0.7363,0.7915,0.8288,0.8339,0.8385,0.9467,0.6096
"Solânea",0.6159,0.6392,NA,NA,NA,NA,NA,NA,NA,NA,0.6275
"Conde",0.0272,0.3131,0.6598,0.6825,0.7269,0.7395,0.7398,0.7489,0.8204,0.8339,0.6292
"Lagoa Seca",0.0272,0.3371,0.6857,0.7045,0.7317,0.7544,0.7667,0.7748,0.8385,0.8445,0.6465
"São João do Cariri",0.0999,0.205,0.3608,0.6339,0.7657,0.8434,0.872,0.9311,0.9364,0.9811,0.6629
"Rio Tinto",0.5055,0.5726,0.5903,0.6141,0.6669,0.7127,0.7315,0.7422,0.7465,0.7497,0.6632
"Condado",0.3323,0.3618,0.3881,0.5614,0.6359,0.6864,0.8729,0.926,0.9468,0.9507,0.6662
"Soledade",0.2927,0.4598,0.582,0.6386,0.6393,0.6404,0.7146,0.7565,1,1.006,0.673
"São Bento",0.3872,0.5975,0.6156,0.6806,0.6957,0.7266,0.7514,0.7618,0.8105,0.8245,0.6851
"Monteiro",0.6283,0.6595,0.6846,0.7066,0.7088,0.7247,0.7274,0.7327,0.7662,0.7783,0.7117
"Tacima",0.2927,0.356,0.3972,0.4693,0.8409,0.9177,0.9325,1.0038,1.2442,1.267,0.7721
"Boa Ventura",0.4571,0.654,0.6846,0.8324,0.8509,0.8534,0.8718,0.8906,0.9241,0.9421,0.7961
"Umbuzeiro",0.3454,0.5697,0.7705,0.7987,0.8092,0.8146,0.8892,0.9461,1.0213,1.1127,0.8077
"São Sebastião de Lagoa de Roça",0.3618,0.4481,0.5624,0.8221,0.844,0.8584,0.9321,1.1267,1.1283,1.2029,0.8287
"Caaporã",0.5667,0.7067,0.7405,0.7797,0.7927,0.8254,0.8768,0.9538,1.0187,1.0366,0.8298
"Alhandra",0.2942,0.356,0.4598,0.5167,1.0146,1.0307,1.063,1.1063,1.4461,1.4518,0.8739
"Mamanguape",0.7087,0.7442,0.912,0.9868,0.9968,1.031,1.0478,1.0509,1.0535,1.0535,0.9585
"Fagundes",0.2388,0.2942,0.3972,0.6393,1.2182,1.2576,1.2768,1.3417,1.6309,1.644,0.9939
"Ingá",0.4968,0.9058,1.0301,1.0869,1.11,1.141,1.2214,1.2575,1.2949,1.4042,1.0949
"Nazarezinho",0.2388,0.4693,0.5167,0.7565,1.3068,1.387,1.396,1.4709,1.7013,1.7315,1.0975
"Marcação",0.1183,0.8545,1.0141,1.0896,1.1244,1.1762,1.4234,1.4752,1.5186,1.5464,1.134
"Cruz do Espírito Santo",0.1183,0.8847,1.0366,1.0503,1.1593,1.2221,1.431,1.4937,1.4995,1.5229,1.1418
"Santa Luzia",0.4571,0.8995,1.0914,1.2687,1.286,1.2936,1.3123,1.319,1.3438,1.3871,1.1659
"Mulungu",0.237,0.2851,0.589,0.7105,1.126,1.3348,4.2047,NA,NA,NA,1.2125
"Itabaiana",0.237,0.4774,0.4794,0.5218,0.8891,1.5478,4.3886,NA,NA,NA,1.2201
"Queimadas",0.5667,1.1113,1.1205,1.2642,1.2664,1.3277,1.3381,1.4125,1.465,1.4995,1.2372
"Esperança",0.4968,0.9401,1.2841,1.2942,1.2993,1.3476,1.3788,1.4066,1.4438,1.5297,1.2421
"Jacaraú",0.9524,0.9554,1.072,1.1105,1.1699,1.2148,1.3309,1.5056,1.6409,1.8038,1.2756
"Bananeiras",0.5218,0.589,0.5961,0.8674,1.0014,1.4571,4.121,NA,NA,NA,1.3077
"Santa Teresinha",1.3229,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3229
"Sousa",1.3229,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3229
"Quixabá",0.2851,0.4794,0.8674,0.9505,1.2907,1.3358,4.1994,NA,NA,NA,1.3441
"Areia",0.4381,0.4774,0.5961,0.7105,0.9505,1.9519,4.7053,NA,NA,NA,1.4043
"Pedras de Fogo",1.2768,1.3612,1.4074,1.4271,1.4469,1.4931,1.5218,1.5238,1.6309,1.6456,1.4735
"São José de Espinharas",0.8221,1.0297,1.2563,1.361,1.5909,1.639,1.7082,1.8989,1.9493,1.9553,1.5211
"Cajazeiras",1.3942,1.6768,NA,NA,NA,NA,NA,NA,NA,NA,1.5355
"Patos",0.912,1.4255,1.482,1.5905,1.6012,1.625,1.6599,1.6994,1.7045,1.7225,1.5422
"Gurinhém",0.8892,1.2343,1.4328,1.6406,1.6723,1.6878,1.7014,1.8291,1.9,1.9729,1.596
"Catolé do Rocha",0.4381,0.8891,1.0014,1.126,1.3358,2.3899,5.1224,NA,NA,NA,1.7575
"Pilar",1.5201,1.5749,1.6819,1.7007,1.8258,1.8679,1.8795,1.9429,2.0121,2.0666,1.8072
"Conceição",1.2907,1.3348,1.4571,1.5478,1.9519,2.3899,2.9123,NA,NA,NA,1.8406
"Prata",1.3942,2.4612,NA,NA,NA,NA,NA,NA,NA,NA,1.9277
"Guarabira",1.6768,2.4612,NA,NA,NA,NA,NA,NA,NA,NA,2.069
"Juarez Távora",2.4946,2.5116,2.5215,2.6133,2.6246,2.9588,3.0592,3.1485,3.1929,3.3435,2.8469
"Santa Rita",3.1669,3.4273,3.5759,3.6862,3.7255,3.7473,3.7751,3.7865,3.83,3.9251,3.6646
"Cabedelo",2.9123,4.121,4.1994,4.2047,4.3886,4.7053,5.1224,NA,NA,NA,4.2362
